iter	Passed	Remaining
438	1411	1803
439	1412	1798
440	1414	1792
441	1418	1791
442	1420	1786
443	1422	1781
444	1424	1776
445	1425	1771
446	1427	1765
447	1429	1760
448	1433	1759
449	1435	1754
450	1437	1749
451	1438	1744
452	1440	1739
453	1443	1735
454	1444	1730
455	1449	1728
456	1450	1723
457	1452	1718
458	1455	1715
459	1457	1710
460	1458	1705
461	1459	1700
462	1466	1701
463	1468	1696
464	1470	1691
465	1471	1686
466	1473	1681
467	1474	1676
468	1478	1673
469	1479	1668
470	1481	1663
471	1482	1658
472	1484	1653
473	1485	1648
474	1486	1643
475	1488	1638
476	1489	1633
477	1494	1631
478	1496	1627
479	1498	1622
480	1499	1618
481	1500	1613
482	1502	1607
483	1503	1602
484	1504	1598
485	1509	1596
486	1510	1591
487	1512	1586
488	1513	1581
489	1514	1576
490	1516	1571
491	1517	1566
492	1518	1561
493	1520	1556
494	1525	1555
495	1526	1551
496	1527	1546
497	1529	1541
498	1530	1536
499	1531	1531
500	1533	1527
501	1534	1522
502	1538	1520
503	1539	1515
504	1541	1510
505	1542	1506
506	1544	1501
507	1545	1496
508	1546	1492
509	1548	1487
510	1549	1482
511	1554	1481
512	1556	1477
513	1557	1472
514	1559	1468
515	1560	1463
516	1562	1459
517	1563	1454
518	1565	1450
519	1569	1448
520	1571	1444
521	1572	1440
522	1573	1435
523	1575	1430
524	1576	1426
525	1578	1422
526	1580	1418
527	1584	1416
528	1585	1411
529	1587	1407
530	1588	1402
531	1589	1398
532	1590	1393
533	1592	1389
534	1593	1385
535	1594	1380
536	1599	1378
537	1600	1374
538	1602	1370
539	1603	1366
540	1605	1362
541	1607	1358
542	1609	1354
543	1614	1353
544	1616	1349
545	1617	1345
546	1618	1340
547	1620	1336
548	1621	1332
549	1623	1328
550	1624	1323
551	1627	1320
552	1629	1317
553	1630	1312
554	1632	1308
555	1633	1304
556	1635	1300
557	1636	1296
558	1637	1292
559	1639	1287
560	1640	1283
561	1642	1280
562	1644	1276
563	1645	1272
564	1647	1268
565	1648	1264
566	1649	1259
567	1651	1255
568	1652	1251
569	1656	1250
570	1658	1246
571	1660	1242
572	1661	1238
573	1663	1234
574	1664	1230
575	1666	1226
576	1667	1222
